Fig_IDs,Left_Name,Right_Name,Clumpy_Rank_Left,Clumpy_Rank_Right,ClustMe_Rank_Left,ClustMe_Rank_Right
1,interleaved_100_200_15d_0_notcramped_notrotated_TSNE_2,olive_RobPCA_data,47,116,3,62
2,iris_GlimmerMDS_2,ms_interleaved_40_80_3d_50_RobPCA_data,10,136,194,234
3,ms_interleaved_40_80_3d_50_RobPCA_data,olive_RobPCA_data,136,116,234,62
4,n500-d5-c5-spr0.1-out0_TSNE_2,interleaved_100_200_15d_0_notcramped_notrotated_TSNE_2,37,47,24,3
5,olive_RobPCA_data,n500-d5-c5-spr0.1-out0_TSNE_2,116,37,62,24
6,iris_GlimmerMDS_2,olive_RobPCA_data,10,116,194,62
7,ms_interleaved_40_80_3d_50_RobPCA_data,interleaved_100_200_15d_0_notcramped_notrotated_TSNE_2,136,47,234,3
8,n500-d5-c5-spr0.1-out0_TSNE_2,iris_GlimmerMDS_2,37,10,24,194
9,ms_interleaved_40_80_3d_50_RobPCA_data,n500-d5-c5-spr0.1-out0_TSNE_2,136,37,234,24
10,interleaved_100_200_15d_0_notcramped_notrotated_TSNE_2,iris_GlimmerMDS_2,47,10,3,194
11,italianwines_GlimmerMDS_2,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,103,216,214,109
12,interleaved_100_200_10d_25_cramped_rotated_PCA_data,tse300_GlimmerMDS_2,247,193,27,218
13,interleaved_100_200_10d_25_cramped_rotated_PCA_data,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,247,146,27,153
14,ms_interleaved_400_800_3d_0_TSNE_2,musicnetgroups_GlimmerMDS_2,14,85,12,182
15,italianwines_GlimmerMDS_2,ms_interleaved_400_800_3d_50_PCA_data,103,238,214,184
16,spambase_GlimmerMDS_2,ms_interleaved_400_800_3d_0_TSNE_2,178,14,180,12
17,ms_interleaved_400_800_3d_0_TSNE_2,n100-d5-c5-spr0.2-out0_TSNE_2,14,77,12,188
18,ms_interleaved_40_80_3d_50_PCA_data,n500-d10-c5-spr0.2-out0_PCA_data,101,185,233,168
19,spambase_GlimmerMDS_2,n500-d10-c5-spr0.2-out0_PCA_data,178,185,180,168
20,spambase_GlimmerMDS_2,n100-d5-c5-spr0.2-out0_TSNE_2,178,77,180,188
21,interleaved_100_200_10d_25_cramped_rotated_PCA_data,interleaved_250_500_3_0_notCramped_rotated_PCA_data,247,219,27,52
22,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,n100-d10-c3-spr0.1-out0_PCA_data,146,16,153,155
23,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,n100-d5-c3-spr0.2-out0_RobPCA_data,249,102,32,248
24,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,bbdm13_PCA_data,120,7,170,185
25,interleaved_250_500_3_0_notCramped_rotated_PCA_data,interleaved_100_200_15d_25_cramped_rotated_PCA_data,219,240,52,89
26,musicnetgroups_GlimmerMDS_2,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,85,189,182,123
27,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,n100-d5-c5-spr0.2-out0_RobPCA_data,158,109,78,205
28,interleaved_100_200_10d_25_cramped_rotated_PCA_data,boston_TSNE_2D,247,142,27,128
29,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,italianwines_GlimmerMDS_2,158,103,78,214
30,n100-d10-c3-spr0.1-out0_PCA_data,ms_interleaved_40_80_3d_50_PCA_data,16,101,155,233
31,n500-d10-c5-spr0.2-out0_PCA_data,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,185,120,168,170
32,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,216,25,109,161
33,interleaved_100_200_10d_25_cramped_rotated_PCA_data,spambase_GlimmerMDS_2,247,178,27,180
34,n500-d10-c5-spr0.2-out0_PCA_data,interleaved_100_200_15d_25_cramped_rotated_PCA_data,185,240,168,89
